,Rainfall (mm),GWL (m),AMP,AMT
2019-03-18,0.0,-0.9370833333333334,0.04177310427161418,0.06918817014805265
2019-03-19,0.0,-1.2633333333333334,0.041297165077176005,0.06879858034710166
2019-03-20,0.0,-1.3508333333333333,0.0409335708988968,0.06867930494957512
2019-03-21,0.0,-1.3398311868750001,0.04069209086861649,0.06885384955577085
2019-03-22,0.0,-1.574076071875,0.04045061083833618,0.06902839416196656
2019-03-23,0.5,-1.2004166666666667,0.04020913080805588,0.06920293876816229
2019-03-24,7.5,-0.8883333333333333,0.039967650777775574,0.06937748337435799
2019-03-25,4.0,-1.2029166666666666,0.039618558959710566,0.06970969321663602
2019-03-26,0.0,-1.4775,0.03915249780709696,0.07021327831552521
2019-03-27,0.0,-1.54375,0.038686436654483354,0.07071686341441441
2019-03-28,0.0,-1.5745833333333332,0.038220375501869755,0.0712204485133036
2019-03-29,3.0,-1.58625,0.03775431434925615,0.0717240336121928
2019-03-30,0.5,-1.2595833333333333,0.03772978076960013,0.07220756605904911
2019-03-31,0.0,-0.8937499999999999,0.03818516846489801,0.07266930214500013
2019-04-01,3.5,-1.0529166666666667,0.03864055616019589,0.07313103823095113
2019-04-02,0.0,-1.3208333333333333,0.03909594385549377,0.07359277431690213
2019-04-03,0.0,-1.4225,0.03955133155079165,0.07405451040285314
2019-04-04,0.0,-1.07875,0.04040042982992082,0.07461284780520293
2019-04-05,0.0,-0.6329166666666667,0.041677474395823144,0.07527618663842096
2019-04-06,0.0,-0.6183333333333333,0.042954518961725474,0.075939525471639
2019-04-07,0.0,-0.635,0.0442315635276278,0.07660286430485704
2019-04-08,0.0,-1.0458333333333334,0.04550860809353011,0.07726620313807507
2019-04-09,0.0,-1.5425000000000002,0.046804236593614816,0.07779072037389002
2019-04-10,0.0,-1.5875000000000001,0.048120065022158605,0.07816434456904946
2019-04-11,2.0,-1.5491666666666666,0.0494358934507024,0.07853796876420889
2019-04-12,2.5,-1.5854166666666665,0.050751721879246196,0.07891159295936834
2019-04-13,6.0,-1.2179166666666668,0.05206755030779,0.07928521715452778
2019-04-14,0.0,-0.73625,0.053347877763621626,0.07914511503803479
2019-04-15,2.0,-0.9816666666666666,0.05458961720563568,0.07844661475670221
2019-04-16,17.5,-1.2679166666666666,0.055831356647649745,0.07774811447536964
2019-04-17,0.0,-1.2320833333333334,0.057073096089663815,0.07704961419403707
2019-04-18,0.0,-1.23,0.05831483553167787,0.07635111391270448
2019-04-19,32.0,-1.2425,0.0591992907434726,0.07531214032202713
2019-04-20,15.5,-0.7095833333333333,0.05969539353111586,0.07390308704727934
2019-04-21,17.0,-0.35083333333333333,0.06019149631875911,0.07249403377253157
2019-04-22,0.0,-0.43041666666666667,0.060687599106402375,0.07108498049778379
2019-04-23,0.0,-0.4975,0.06118370189404564,0.069675927223036
2019-04-24,0.0,-0.7374999999999999,0.06150894298476194,0.06840455550136638
2019-04-25,0.0,-1.0083333333333333,0.06164846483968806,0.06728283764173823
2019-04-26,1.0,-1.0641666666666667,0.06178798669461419,0.06616111978211008
2019-04-27,0.0,-1.0045833333333334,0.061927508549540315,0.06503940192248192
2019-04-28,0.0,-0.6470833333333333,0.06206703040446643,0.06391768406285377
2019-04-29,0.0,-0.75625,0.06204317791786464,0.06324287904722332
2019-04-30,1.5,-1.0520833333333333,0.06184174462525425,0.06305384886202516
2019-05-01,35.0,-0.8854166666666666,0.06164031133264386,0.062864818676827
2019-05-02,47.0,-0.8633333333333333,0.06143887804003347,0.06267578849162884
2019-05-03,2.0,-0.8633333333333333,0.06123744474742308,0.06248675830643069
2019-05-04,0.0,-0.49333333333333335,0.061277293680928054,0.0625953305125622
2019-05-05,1.0,-0.17875,0.06157940590368887,0.0630273835788347
2019-05-06,21.0,-0.3829166666666666,0.061881518126449674,0.06345943664510717
2019-05-07,3.5,-0.71875,0.062183630349210484,0.06389148971137965
2019-05-08,0.0,-0.7933333333333333,0.062485742571971294,0.06432354277765213
2019-05-09,6.0,-0.75875,0.06266143926397302,0.06449868536786611
2019-05-10,7.0,-0.7341666666666667,0.06269972777036704,0.06439457744062523
2019-05-11,0.0,-0.3854166666666667,0.06273801627676107,0.06429046951338434
2019-05-12,0.0,-0.012083333333333337,0.06277630478315509,0.06418636158614345
2019-05-13,0.0,-0.21125000000000002,0.06281459328954912,0.06408225365890255
2019-05-14,0.0,-0.7075,0.06266297972541177,0.06367927329580565
2019-05-15,0.0,-0.7945833333333333,0.06230495086721857,0.06295143158938704
2019-05-16,0.0,-0.7841666666666667,0.06194692200902538,0.062223589882968416
2019-05-17,7.0,-0.8133333333333334,0.06158889315083218,0.06149574817654979
2019-05-18,6.0,-0.36625,0.061230864292638985,0.06076790647013117
2019-05-19,6.0,-0.16083333333333333,0.06105946544254139,0.060019560660773685
2019-05-20,18.5,-0.32166666666666666,0.06109092529689553,0.05924892778300441
2019-05-21,0.0,-0.6525,0.06112238515124968,0.05847829490523513
2019-05-22,2.0,-0.6970833333333334,0.061153845005603814,0.057707662027465856
